time_min,pH_meas,pH_pred,pH_pred_minus_2σ,pH_pred_plus_2σ,RNA,RNA_minus_2σ,RNA_plus_2σ,PPi,PPi_minus_2σ,PPi_plus_2σ,Pi,Pi_minus_2σ,Pi_plus_2σ,ATP_tot,ATP_tot_minus_2σ,ATP_tot_plus_2σ,CTP_tot,CTP_tot_minus_2σ,CTP_tot_plus_2σ,GTP_tot,GTP_tot_minus_2σ,GTP_tot_plus_2σ,UTP_tot,UTP_tot_minus_2σ,UTP_tot_plus_2σ,H_tot,H_tot_minus_2σ,H_tot_plus_2σ,Mg_tot,Mg_tot_minus_2σ,Mg_tot_plus_2σ,DNA_tot,DNA_tot_minus_2σ,DNA_tot_plus_2σ,T7_tot,T7_tot_minus_2σ,T7_tot_plus_2σ,PPi_solid,PPi_solid_minus_2σ,PPi_solid_plus_2σ,dsRNA,dsRNA_minus_2σ,dsRNA_plus_2σ,HEPES_tot,HEPES_tot_minus_2σ,HEPES_tot_plus_2σ,Acetate_tot,Acetate_tot_minus_2σ,Acetate_tot_plus_2σ,Spd_tot,Spd_tot_minus_2σ,Spd_tot_plus_2σ,H_free,H_free_minus_2σ,H_free_plus_2σ,Mg_free,Mg_free_minus_2σ,Mg_free_plus_2σ,MgATP,MgATP_minus_2σ,MgATP_plus_2σ,MgCTP,MgCTP_minus_2σ,MgCTP_plus_2σ,MgGTP,MgGTP_minus_2σ,MgGTP_plus_2σ,MgUTP,MgUTP_minus_2σ,MgUTP_plus_2σ,HEP_base,HEP_base_minus_2σ,HEP_base_plus_2σ,H_HEP_acid,H_HEP_acid_minus_2σ,H_HEP_acid_plus_2σ,Acetate_base,Acetate_base_minus_2σ,Acetate_base_plus_2σ,Acetic_acid,Acetic_acid_minus_2σ,Acetic_acid_plus_2σ
0.0,6.69,6.669311461798552,6.669311461798552,6.669311461798552,0.0,-4.472135954999579e-06,4.472135954999579e-06,0.0,-4.472135954999579e-07,4.472135954999579e-07,0.0,-4.472135954999579e-07,4.472135954999579e-07,10.015866752337987,9.815866787865108,10.215866716810865,10.015866752337987,9.815866787865108,10.215866716810865,10.015866752337987,9.815866787865108,10.215866716810865,10.015866752337987,9.815866787865108,10.215866716810865,0.04125666150222199,0.04043283556297109,0.0420804874414729,0.04206664036010892,0.04122664050932283,0.042906640210895006,50.07933376199608,49.079333939631695,51.07933358436047,246.49048077541875,241.56848164974122,251.41247990109628,0.0,-4.472135954999579e-07,4.472135954999579e-07,0.0,-4.472135954999579e-07,4.472135954999579e-07,0.05007933376177566,0.049079333939411274,0.051079333584140046,0.04206664036010892,0.04122664050932283,0.042906640210895006,0.0,-4.472135954999579e-07,4.472135954999579e-07,2.1413543410090946e-07,-2.3307816139178616e-07,6.613490295936051e-07,0.0,-4.472135954999579e-07,4.472135954999579e-07,0.0,-4.472135954999579e-07,4.472135954999579e-07,0.0,-4.472135954999579e-07,4.472135954999579e-07,0.0,-4.472135954999579e-07,4.472135954999579e-07,0.0,-4.472135954999579e-07,4.472135954999579e-07,0.0093341763192584,0.00931553787140296,0.00935281476711384,0.040745157442729246,0.040663797666956415,0.04082651721850208,0.04155539728464763,0.041472419625032876,0.04163837494426239,0.000511243075381221,0.0005102222271482298,0.0005122639236142122
1.0,6.71,6.676960956856228,6.5769609568557845,6.776960956856672,0.09303862020191186,0.09303229478461948,0.09304494561920425,9.004602669514415e-08,-3.5717825461041106e-07,5.372703080006993e-07,0.0005636903344176694,0.0005442433452400657,0.000583137323595273,9.935215079213531,9.735597619517725,10.134832538909338,9.931274052354725,9.731674422957369,10.130873681752082,9.942187608663069,9.742538400118642,10.141836817207496,9.972806532493836,9.773014837671154,10.172598227316518,0.04120989248184384,0.04034258424343203,0.04207720072025565,0.04206637144285002,0.041226371774050447,0.04290637111164959,50.07909166911747,49.07909205206221,51.079091286172726,246.49047956816472,241.56848044249324,251.4124786938362,1.524504056164675e-13,-6.324553795831417e-07,6.324556844839531e-07,0.0,-6.324555320336758e-07,6.324555320336758e-07,0.050220123799586604,0.04929201628175264,0.051148231317420564,0.042068134734447094,0.04122814405951219,0.042908125409382,0.0,-6.324555320336758e-07,6.324555320336758e-07,2.1039675782882298e-07,-2.3759561211453588e-07,6.583891277721819e-07,0.04203295700010205,0.041193617245128024,0.04287229675507608,8.345104411391527e-06,7.839899930392807e-06,8.850308892390248e-06,8.341793726720932e-06,7.836644412525671e-06,8.846943040916193e-06,8.350961842434387e-06,7.845659638859704e-06,8.85626404600907e-06,8.376683511429233e-06,7.87095036831417e-06,8.882416654544295e-06,0.009513688191741506,0.008473849158866025,0.010553527224616987,0.04070643581289746,0.039875571467719785,0.04153730015807513,0.04156493623424411,0.04073243690361693,0.042397435564871286,0.0005031986188534113,0.0004398752704126748,0.0005665219672941477
2.0,6.707833333333333,6.681531684668889,6.5636261144802335,6.799437254857545,0.1855050060072411,0.18549725725964997,0.18551275475483223,8.941079041481601e-08,-3.5781320453439926e-07,5.366347853640313e-07,0.0011240939425903012,0.0010854606405595066,0.0011627272446210959,9.855055170892927,9.65578075130555,10.054329590480304,9.847197412407667,9.647954983618503,10.04643984119683,9.868957442564593,9.669625619861929,10.068289265267257,9.93000688486026,9.730410831225875,10.129602938494646,0.04119087573907691,0.040280328066870826,0.042101423411283,0.042066012065325925,0.041226013176070414,0.042906010954581436,50.07876800920735,49.07876900497815,51.078767013436554,246.49048045892363,241.56848133325337,251.41247958459388,4.746121053114599e-13,-7.745961946284894e-07,7.745971438527e-07,0.0,-7.745966692414833e-07,7.745966692414833e-07,0.05029910381066303,0.04941118062211166,0.051187026999214395,0.042068954465465234,0.041228968351664314,0.042908940579266155,0.0,-7.745966692414833e-07,7.745966692414833e-07,2.0819405082820395e-07,-2.3966569688479524e-07,6.560537985412031e-07,0.04203283331420181,0.04119348304078127,0.04287218358762235,8.277740794148425e-06,7.773641974561213e-06,8.781839613735636e-06,8.271139832203672e-06,7.767148695454206e-06,8.775130968953137e-06,8.289419572093689e-06,7.78512976042775e-06,8.793709383759627e-06,8.340704676336154e-06,7.835568957398356e-06,8.845840395273953e-06,0.00960649184697783,0.008636694785352866,0.010576288908602793,0.04069261217873673,0.03981670908169759,0.04156851527577587,0.04157094735984599,0.04073878124773163,0.04240311347196035,0.0004980070423873258,0.00044013024074315615,0.0005558838440314955
3.0,6.6905,6.680547505569445,6.565637021412691,6.795457989726199,0.2774323340743634,0.27742338444328657,0.27744128370544024,8.87799052827889e-08,-3.584438098603021e-07,5.360036204258799e-07,0.0016812305348840398,0.0016236084235859898,0.0017388526461820898,9.775371048267216,9.576401187788198,9.974340908746234,9.76361932169047,9.564692032951049,9.962546610429891,9.796162711137303,9.597115736465136,9.995209685809469,9.887465147905987,9.68805241449845,10.086877881313523,0.041228261667497,0.04027861275419242,0.04217791058080157,0.042065841915829655,0.04122584451125313,0.04290583932040618,50.07861456783099,49.0786166572726,51.07861247838938,246.4904794164081,241.56848029073663,251.41247854207958,6.866551563195855e-13,-8.944265043416481e-07,8.944278776519607e-07,1.3720379842970758e-20,-8.94427190999902e-07,8.944271909999295e-07,0.05032037782101203,0.04945652745051206,0.051184228191512,0.04206917182960932,0.04122918822068514,0.042909155438533506,1.368066153144633e-20,-8.944271909999021e-07,8.944271909999294e-07,2.086663860418356e-07,-2.3912762158564133e-07,6.564603936693125e-07,0.042032896897292234,0.04119353692495303,0.04287225686963144,8.210813795824122e-06,7.70778875465938e-06,8.713838836988865e-06,8.200941719258674e-06,7.698074290434854e-06,8.703809148082495e-06,8.228279953045681e-06,7.724974990586936e-06,8.731584915504427e-06,8.304979666493775e-06,7.800429363968196e-06,8.809529969019355e-06,0.00959150109295429,0.008667318912566113,0.010515683273342468,0.04072887688637665,0.03981342644197875,0.04164432733077455,0.041570043696236604,0.04073805849605774,0.04240202889641547,0.0004991281180274758,0.0004441521206566632,0.0005541041153982883
4.0,6.6786666666666665,6.67716000664389,6.563741066021694,6.790578947266085,0.36923876829203217,0.3692287596812794,0.36924877690278496,8.81503409425113e-08,-3.590731012960994e-07,5.35373783181122e-07,0.0022376344267476143,0.002160406611676984,0.0023148622418182447,9.695798733863684,9.497089507183333,9.894507960544036,9.680158223488496,9.4814980216157,9.878818425361292,9.723470631688,9.524671431478616,9.922269831897385,9.844986348252409,9.645743086602575,10.044229609902242,0.04129515086153503,0.04031180179923066,0.04227849992383939,0.04206582556767454,0.04122583038808206,0.04290582074726702,50.078599743755255,49.07860343173134,51.07859605577917,246.490478962815,241.56847983714528,251.4124780884847,7.130382189443065e-13,-9.999992869538604e-07,1.0000007130302983e-06,-1.6832696674920317e-19,-1.0000000000001683e-06,9.999999999998316e-07,0.05032170218585958,0.04947297432291756,0.051170430048801605,0.04206918532519875,0.041229203223494236,0.04290916742690327,-1.2985480703648487e-19,-1.0000000000001298e-06,9.999999999998701e-07,2.103003489728484e-07,-2.3747092289707047e-07,6.580716208427673e-07,0.04203311406565339,0.04119374524754629,0.042872482883760485,8.144010272448975e-06,7.642025408759036e-06,8.645995136138914e-06,8.130871172008349e-06,7.629091116869012e-06,8.632651227147686e-06,8.167256497886688e-06,7.664907364389218e-06,8.669605631384159e-06,8.269337500545726e-06,7.765359878844924e-06,8.773315122246528e-06,0.009529801091470565,0.008638277784521954,0.010421324398419175,0.04079190135234691,0.039843166946184616,0.0417406357585092,0.04156619395762166,0.04073435388898257,0.042398034026260745,0.0005029915295185152,0.00044904823621341337,0.0005569348228236171
5.0,6.669583333333334,6.672525351480948,6.559806447202343,6.785244255759553,0.4619173363864837,0.46190636801238394,0.46192830476058344,8.751505457102715e-08,-3.597081228826069e-07,5.347382320246612e-07,0.0027993239840517978,0.002696540510971615,0.0029021074571319804,9.615475608471723,9.416924174573358,9.814027042370087,9.595909335413152,9.397403330735935,9.794415340090369,9.650093057200488,9.451455411960703,9.848730702440273,9.802109038096692,9.603004667769541,10.001213408423842,0.041379318678451155,0.040367618692501064,0.042391018664401245,0.042065919731944,0.04122592749248566,0.04290591197140234,50.078684473315754,49.078690247520235,51.07867869911127,246.49048012807705,241.56848100240538,251.41247925374873,5.247325494068018e-13,-1.095444590261155e-06,1.0954456397262539e-06,-1.6430135912205351e-19,-1.0954451150104964e-06,1.0954451150101678e-06,0.050316389527072944,0.0494773719136938,0.05115540714045209,0.04206912991706632,0.04122914876561771,0.04290911106851494,-6.236651549609951e-20,-1.0954451150103946e-06,1.0954451150102696e-06,2.1255662639135345e-07,-2.3521080247556823e-07,6.603240552582751e-07,0.04203344385776711,0.041194067000287805,0.04287282071524642,8.076597182372047e-06,7.5756041227350114e-06,8.577590242009082e-06,8.060160129804862e-06,7.559414739140721e-06,8.560905520469003e-06,8.105678378555952e-06,7.604243916482968e-06,8.607112840628936e-06,8.23338246403093e-06,7.729961161922171e-06,8.73680376613969e-06,0.00944565351839634,0.008578591638110084,0.010312715398682596,0.040870735810887085,0.03989440092693499,0.04184707069483918,0.041560806763881894,0.0407290946543692,0.04239251887339459,0.000508323020606392,0.0004545467065472758,0.0005620993346655081
6.0,6.67,6.668789392736574,6.556414432636483,6.781164352836665,0.5581464997150097,0.5581346352403421,0.5581583641896773,8.685463091827985e-08,-3.6036830273667596e-07,5.340775645732356e-07,0.0033825323445228093,0.0032197495040819637,0.003545315184963655,9.53207014735954,9.333090866151501,9.73104942856758,9.50842772158211,9.309431885630705,9.707423557533517,9.573899199586545,9.374933988860215,9.772864410312875,9.757583983588106,9.558450529249294,9.956717437926917,0.04145038998477275,0.04041518773367486,0.04248559223587063,0.042065906567555336,0.04122591791846178,0.04290589521664889,50.078672466344955,49.07868077018636,51.07866416250355,246.49048103356304,241.56848190789137,251.41248015923472,5.562421956287027e-13,-1.1832154003470943e-06,1.1832165128314856e-06,-1.7710427514506233e-19,-1.1832159566201004e-06,1.1832159566197463e-06,0.05031692805911942,0.04948421606931267,0.05114964004892617,0.04206913564464435,0.04122915510753467,0.04290911618175403,8.572514161605508e-20,-1.1832159566198376e-06,1.183215956620009e-06,2.1439300289525828e-07,-2.3338090859374654e-07,6.621669143842631e-07,0.04203367562637689,0.04119429142142464,0.042873059831329136,8.006575647313402e-06,7.506393720663654e-06,8.50675757396315e-06,7.986714252509879e-06,7.486804927499522e-06,8.486623577520235e-06,8.041715145777346e-06,7.5410442902472555e-06,8.542386001307436e-06,8.196023927719018e-06,7.69310634727786e-06,8.698941508160176e-06,0.009379460866945284,0.008531417840198648,0.01022750389369192,0.04093746745082913,0.039938522991405385,0.04193641191025287,0.04155647430358178,0.040724878538178334,0.04238807006898523,0.0005126613341021248,0.0004585735304744482,0.0005667491377298015
7.0,6.669416666666667,6.665624897120509,6.553405042820228,6.77784475142079,0.6560563530176781,0.6560436429122714,0.6560690631230848,8.61819905686536e-08,-3.610407142618631e-07,5.334046953991703e-07,0.003975926736977156,0.00374458320591405,0.004207270268040262,9.44720429951101,9.247227848747748,9.647180750274273,9.41941450485689,9.21930334310261,9.619525666611171,9.496371006328554,9.29660204297458,9.696139969682527,9.712277696512473,9.512950828107696,9.91160456491725,0.04151225221780928,0.04045763498696803,0.04256686944865053,0.04206581482615138,0.04122583031763536,0.042905799334667406,50.07858968150844,49.078600890194856,51.078578472822024,246.49047985986235,241.5684807341888,251.4124789855359,8.153434173942859e-13,-1.2649102486726683e-06,1.264911879359503e-06,-1.9047395916208734e-19,-1.264911064067542e-06,1.2649110640671613e-06,0.05031975219824628,0.0494911298217971,0.05114837457469547,0.04206916723999455,0.04122918708717286,0.04290914739281624,2.389806478659091e-19,-1.2649110640671126e-06,1.2649110640675908e-06,2.1596088716478364e-07,-2.3181888681203405e-07,6.637406611416014e-07,0.0420338331352364,0.04119444204049931,0.042873224229973486,7.935312730047693e-06,7.435777836049703e-06,8.434847624045684e-06,7.911967256238054e-06,7.412712927058769e-06,8.411221585417339e-06,7.976616507998916e-06,7.476573140012985e-06,8.476659875984846e-06,8.157994379369529e-06,7.655536114386258e-06,8.6604526443528e-06,0.009324126905796771,0.008490640589938984,0.010157613221654559,0.04099562497026366,0.03997802384239259,0.04201322609813474,0.0415528021501783,0.04072129951408617,0.04238430478627043,0.0005163649973791656,0.0004619977364992269,0.0005707322582591043
8.0,6.634666666666666,6.656173434779159,6.544058083573849,6.76828878598447,0.750683377737801,0.7506698875105344,0.7506968679650676,8.553519480100002e-08,-3.616872641907582e-07,5.327576537927583e-07,0.0045494251394792426,0.00428727168052043,0.004811578598438055,9.365220911184439,9.164852295741568,9.56558952662731,9.33342282851408,9.132862210948455,9.533983446079704,9.421479112254833,9.221410810927757,9.621547413581908,9.668526745423511,9.469177313724018,9.867876177123005,0.04167557629244316,0.040605078056383144,0.042746074528503174,0.04206651431992997,0.04122653440094758,0.04290649423891236,50.07921993859108,49.0792343583016,51.07920551888056,246.49047894146355,241.56847981579332,251.41247806713378,-1.468831197800623e-12,-1.3416422552512868e-06,1.3416393175888914e-06,-1.2477400260488372e-19,-1.3416407864999984e-06,1.341640786499749e-06,0.0503032799739196,0.049477309929224694,0.0511292500186145,0.04206897735868807,0.04122899743367532,0.042908957283700824,3.882190532639669e-19,-1.3416407864994855e-06,1.3416407865002618e-06,2.207123146042327e-07,-2.2707251668955227e-07,6.684971458980177e-07,0.0420347721844118,0.04119537464959545,0.04287416971922816,7.866615900081155e-06,7.367889168753344e-06,8.365342631408965e-06,7.839902518722004e-06,7.3414805531756975e-06,8.338324484268311e-06,7.913878061655585e-06,7.414596460612859e-06,8.41315966269831e-06,8.121421426493543e-06,7.619467949351804e-06,8.623374903635282e-06,0.00915555258946046,0.008333380029712581,0.00997772514920834,0.04114772744721001,0.04011486977243659,0.04218058512198342,0.04154139491732626,0.040709970918936654,0.042372818915715864,0.0005275826733625078,0.00047297506983573793,0.0005821902768892776
9.0,6.62,6.645427829254903,6.533386281719231,6.757469376790574,0.8472464589016729,0.8472322198996834,0.8472606979036624,8.487552110030746e-08,-3.623467203025771e-07,5.32097762503192e-07,0.005134657239913159,0.004826241205283568,0.005443073274542749,9.28156723207317,9.080235506845359,9.482898957300982,9.245679013838142,9.044042218956559,9.447315808719726,9.345062028660113,9.144216220766303,9.545907836553923,9.623887540698385,9.424349874041297,9.823425207355474,0.04185957466471289,0.04077679840861145,0.04294235092081433,0.04206737356988317,0.04122739865297087,0.04290734848679546,50.079993971050726,49.0800118830907,51.079976059010754,246.49047967246688,241.56848054679648,251.41247879813727,-4.668686930783213e-12,-1.414218230942151e-06,1.4142088935682894e-06,-2.2050528579294607e-19,-1.4142135623733154e-06,1.4142135623728745e-06,0.050287337414308485,0.04946316206105335,0.05111151276756362,0.04206877167742414,0.04122879192673355,0.04290875142811473,4.1843817595952686e-19,-1.4142135623726767e-06,1.4142135623735136e-06,2.2624144749450432e-07,-2.2157646239807855e-07,6.740593573870872e-07,0.042035876782352724,0.04119647347166074,0.042875280093044706,7.79654416340238e-06,7.298424807374268e-06,8.294663519430493e-06,7.76639384284744e-06,7.268584600039792e-06,8.264203085655088e-06,7.849887008394566e-06,7.35119765700446e-06,8.348576359784672e-06,8.084132720005905e-06,7.582620167421455e-06,8.585645272590355e-06,0.008968660201365976,0.008158189727090776,0.009779130675641175,0.04131867726577555,0.0402748129676373,0.04236254156391381,0.04152814510742439,0.04069685689698547,0.042359433317863314,0.0005406267103799887,0.0004845140980307262,0.0005967393227292511
